CIVILSTAND,TID,ALDER,INDHOLD
I alt,2008K1,I alt,5475791
I alt,2008K1,0 år,64412
I alt,2008K1,1 år,65722
I alt,2008K1,2 år,64993
I alt,2008K1,3 år,65216
I alt,2008K1,4 år,65263
I alt,2008K1,5 år,64711
I alt,2008K1,6 år,65825
I alt,2008K1,7 år,67681
I alt,2008K1,8 år,66939
I alt,2008K1,9 år,67283
I alt,2008K1,10 år,68827
I alt,2008K1,11 år,69292
I alt,2008K1,12 år,71777
I alt,2008K1,13 år,72141
I alt,2008K1,14 år,69835
I alt,2008K1,15 år,70522
I alt,2008K1,16 år,67595
I alt,2008K1,17 år,67450
I alt,2008K1,18 år,65339
I alt,2008K1,19 år,63357
I alt,2008K1,20 år,61689
I alt,2008K1,21 år,62081
I alt,2008K1,22 år,61318
I alt,2008K1,23 år,59737
I alt,2008K1,24 år,58972
I alt,2008K1,25 år,60617
I alt,2008K1,26 år,60601
I alt,2008K1,27 år,64382
I alt,2008K1,28 år,65919
I alt,2008K1,29 år,68204
I alt,2008K1,30 år,68066
I alt,2008K1,31 år,70760
I alt,2008K1,32 år,76900
I alt,2008K1,33 år,75885
I alt,2008K1,34 år,76068
I alt,2008K1,35 år,79420
I alt,2008K1,36 år,78600
I alt,2008K1,37 år,75431
I alt,2008K1,38 år,75316
I alt,2008K1,39 år,78116
I alt,2008K1,40 år,83635
I alt,2008K1,41 år,89878
I alt,2008K1,42 år,87017
I alt,2008K1,43 år,85083
I alt,2008K1,44 år,83309
I alt,2008K1,45 år,78774
I alt,2008K1,46 år,76660
I alt,2008K1,47 år,76638
I alt,2008K1,48 år,73555
I alt,2008K1,49 år,73655
I alt,2008K1,50 år,73213
I alt,2008K1,51 år,73675
I alt,2008K1,52 år,72650
I alt,2008K1,53 år,71052
I alt,2008K1,54 år,72167
I alt,2008K1,55 år,70561
I alt,2008K1,56 år,69241
I alt,2008K1,57 år,71094
I alt,2008K1,58 år,70490
I alt,2008K1,59 år,73850
I alt,2008K1,60 år,78115
I alt,2008K1,61 år,80273
I alt,2008K1,62 år,77011
I alt,2008K1,63 år,72603
I alt,2008K1,64 år,66289
I alt,2008K1,65 år,61857
I alt,2008K1,66 år,54527
I alt,2008K1,67 år,52433
I alt,2008K1,68 år,49364
I alt,2008K1,69 år,48297
I alt,2008K1,70 år,45771
I alt,2008K1,71 år,43301
I alt,2008K1,72 år,40495
I alt,2008K1,73 år,38580
I alt,2008K1,74 år,35880
I alt,2008K1,75 år,34546
I alt,2008K1,76 år,32755
I alt,2008K1,77 år,31499
I alt,2008K1,78 år,29739
I alt,2008K1,79 år,28957
I alt,2008K1,80 år,26518
I alt,2008K1,81 år,25507
I alt,2008K1,82 år,23820
I alt,2008K1,83 år,22287
